GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS,County_clean,county_clean,highway_count
48091,"Comal County, Texas",42.0,99015,398800,22.7,0.9,4.0,0.3,72.1,64.9,2.4,1.8,42.2,94.2,3.5,6.4,48,91,comal,comal,3.0
48093,"Comanche County, Texas",43.7,59946,137800,27.4,0.0,1.6,0.0,71.0,66.7,0.5,2.8,20.0,84.6,6.7,14.1,48,93,comanche,comanche,6.0
48095,"Concho County, Texas",45.3,59632,105800,20.9,0.0,8.6,1.5,69.0,61.2,3.7,1.3,13.2,79.5,1.0,13.3,48,95,concho,concho,2.0
48097,"Cooke County, Texas",40.3,72472,224600,17.8,0.5,2.2,0.0,79.5,71.6,3.3,1.8,23.6,88.4,4.3,14.1,48,97,cooke,,0.0
48099,"Coryell County, Texas",32.4,68904,177400,12.8,3.7,3.4,0.3,79.7,55.2,12.7,5.4,18.7,90.7,6.5,9.9,48,99,coryell,,0.0
48101,"Cottle County, Texas",44.3,58819,54100,21.6,0.0,4.4,0.0,74.0,59.1,4.9,5.6,21.8,79.6,6.4,22.8,48,101,cottle,,0.0
48103,"Crane County, Texas",36.7,59915,119900,66.7,0.0,0.3,1.4,31.6,26.4,1.6,0.8,14.3,75.6,3.7,8.2,48,103,crane,crane,6.0
48105,"Crockett County, Texas",42.9,81739,140000,62.3,0.0,0.0,0.0,37.7,37.0,0.6,0.1,11.0,65.8,2.8,3.3,48,105,crockett,,0.0
48107,"Crosby County, Texas",39.3,52197,75500,47.1,0.3,8.1,0.3,44.2,39.0,2.2,1.8,14.1,78.4,6.2,22.1,48,107,crosby,,0.0
48109,"Culberson County, Texas",48.1,42672,84500,79.7,0.0,6.0,1.3,12.9,8.9,0.2,2.8,16.3,73.3,0.6,17.7,48,109,culberson,,0.0
48111,"Dallam County, Texas",30.4,72332,140500,50.4,0.0,2.3,0.0,47.3,42.3,0.2,5.1,15.7,80.7,1.4,10.0,48,111,dallam,,0.0
48113,"Dallas County, Texas",34.0,74149,277900,32.3,0.6,7.5,0.4,59.2,27.1,22.2,2.0,34.8,81.7,4.9,14.0,48,113,dallas,dallas,13.0
